Date,USDZAR,USDGBP,USDEUR,USDJPY,XBTUSD
31/12/2018,0.0343766,-0.000510009,-0.01279004,-0.034163952,-0.065184537
31/01/2019,-0.076149916,-0.026916699,0.001605136,-0.007293281,-0.069985684
28/02/2019,0.062674473,-0.011536445,0.006639194,0.022958949,0.112814014
29/03/2019,0.029556475,0.017374005,0.013645668,-0.004758057,0.076380725
30/04/2019,-0.013971258,0.000260722,0.000336549,0.005051416,0.279723526
31/05/2019,0.019701229,0.03166949,0.004149378,-0.028091905,0.623442353
28/06/2019,-0.033840182,-0.005179384,-0.017980791,-0.004063164,0.339817814
31/07/2019,0.018172912,0.044444444,0.026725805,0.008623088,-0.11993087
30/08/2019,0.059437073,-0.000364742,0.008196721,-0.022982166,-0.039936728
30/09/2019,-0.003889335,-0.010581367,0.008130081,0.016936394,-0.143907552
31/10/2019,-0.002345355,-0.050030731,-0.022776809,-0.00046262,0.115099079
29/11/2019,-0.028488557,0.000646998,0.012155682,0.013514764,-0.160954663
31/12/2019,-0.045710469,-0.024570025,-0.017298369,-0.008037264,-0.071601252
31/01/2020,0.073442857,0.003844624,0.010763539,-0.002393886,0.306780828
28/02/2020,0.04210085,0.030243001,0.005990017,-0.004245501,-0.077069452
31/03/2020,0.139008614,0.032688117,-0.000551329,-0.003244045,-0.249264481
30/04/2020,0.038597593,-0.014399206,0.00739188,-0.003347592,0.361835538
29/05/2020,-0.052892089,0.019521411,-0.013689629,0.006064564,0.076906519
30/06/2020,-0.011130425,-0.003829524,-0.011547857,0.000927386,-0.03769339
31/07/2020,-0.016102633,-0.052331349,-0.046281734,-0.019457055,0.240354036
31/08/2020,-0.007626612,-0.021198639,-0.013191991,0.000755929,0.029347863
30/09/2020,-0.011403882,0.034491979,0.018381475,-0.004060051,-0.083199185
30/10/2020,-0.03012228,-0.002067718,0.006329114,-0.007773986,0.293561659
30/11/2020,-0.047759467,-0.028101528,-0.023410203,-0.003344162,0.399167515
31/12/2020,-0.049999677,-0.024916722,-0.023732856,-0.010162017,0.496303398
29/01/2021,0.031725724,-0.002869637,0.006474469,0.013849879,0.124325603
26/02/2021,-0.002671345,-0.016033987,0.005340454,0.018055025,0.387929178
31/03/2021,-0.022783789,0.010445682,0.029216467,0.038941541,0.303038527
